,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
332,PT,STA-PT03084,O3,82.6,µg/m3,2014-05-22 10:00:00 +01:00
334,PT,STA-PT03084,O3,100.9,µg/m3,2014-05-23 14:00:00 +01:00
335,PT,STA-PT03084,O3,82.4,µg/m3,2014-05-22 11:00:00 +01:00
338,PT,STA-PT03084,O3,94.5,µg/m3,2014-05-12 18:00:00 +01:00
339,PT,STA-PT03084,O3,105.9,µg/m3,2014-05-13 13:00:00 +01:00
340,PT,STA-PT03084,O3,104.1,µg/m3,2014-05-13 19:00:00 +01:00
341,PT,STA-PT03084,O3,95.4,µg/m3,2014-05-13 22:00:00 +01:00
344,PT,STA-PT03084,O3,86.8,µg/m3,2014-05-13 23:00:00 +01:00
346,PT,STA-PT03084,O3,102.8,µg/m3,2014-05-15 12:00:00 +01:00
348,PT,STA-PT03084,O3,101.5,µg/m3,2014-05-17 05:00:00 +01:00
350,PT,STA-PT03084,O3,108.9,µg/m3,2014-05-17 19:00:00 +01:00
351,PT,STA-PT03084,O3,104.6,µg/m3,2014-05-17 04:00:00 +01:00
352,PT,STA-PT03084,O3,141.7,µg/m3,2014-05-17 14:00:00 +01:00
353,PT,STA-PT03084,O3,126.6,µg/m3,2014-05-18 14:00:00 +01:00
354,PT,STA-PT03084,O3,77.4,µg/m3,2014-05-30 20:00:00 +01:00
356,PT,STA-PT03084,O3,82.1,µg/m3,2014-05-30 19:00:00 +01:00
357,PT,STA-PT03084,O3,66.9,µg/m3,2014-05-31 05:00:00 +01:00
358,PT,STA-PT03084,O3,99.5,µg/m3,2014-05-26 00:00:00 +01:00
359,PT,STA-PT03084,O3,105.5,µg/m3,2014-05-26 15:00:00 +01:00
361,PT,STA-PT03084,O3,91.7,µg/m3,2014-05-26 05:00:00 +01:00
365,PT,STA-PT03084,O3,91.9,µg/m3,2014-05-25 08:00:00 +01:00
366,PT,STA-PT03084,O3,77.3,µg/m3,2014-05-30 14:00:00 +01:00
371,PT,STA-PT03084,O3,101.3,µg/m3,2014-05-26 19:00:00 +01:00
373,PT,STA-PT03084,O3,76.0,µg/m3,2014-05-28 11:00:00 +01:00
375,PT,STA-PT03084,O3,71.9,µg/m3,2014-05-27 15:00:00 +01:00
377,PT,STA-PT03084,O3,69.8,µg/m3,2014-02-25 18:00:00 +01:00
379,PT,STA-PT03084,O3,56.6,µg/m3,2014-02-25 19:00:00 +01:00
380,PT,STA-PT03084,O3,101.3,µg/m3,2014-07-03 18:00:00 +01:00
381,PT,STA-PT03084,O3,56.6,µg/m3,2014-07-03 09:00:00 +01:00
383,PT,STA-PT03084,O3,110.2,µg/m3,2014-07-03 20:00:00 +01:00
384,PT,STA-PT03084,O3,48.6,µg/m3,2014-02-26 10:00:00 +01:00
